"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"13","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/PlanDeCarrera.java","5","68","Found 'DD'-anomaly for variable 'res' (lines '68'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
"14","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Posicion.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"15","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Skills.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"16","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Skills.java","2","41","System.out.print is used","Java Logging Rules","SystemPrintln"
"17","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Skills.java","3","45","The String literal 'JAVA' appears 5 times in this file; the first occurrence is on line 45","String and StringBuffer Rules","AvoidDuplicateLiterals"
"18","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/SubNivel.java","5","23","Found 'DU'-anomaly for variable 'salto' (lines '23'-'31').","Controversial Rules","DataflowAnomalyAnalysis"
"19","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/SubNivel.java","5","40","Found 'DD'-anomaly for variable 'res' (lines '40'-'41').","Controversial Rules","DataflowAnomalyAnalysis"
"20","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Tecnologia.java","3","9","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"21","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Tecnologia.java","3","11","It is somewhat confusing to have a field name matching the declaring class name","Naming Rules","AvoidFieldNameMatchingTypeName"
"22","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Tecnologia.java","2","33","System.out.print is used","Java Logging Rules","SystemPrintln"
"23","ar.edu.unq.partnersdevapp.dominio.personal","src/main/java/ar/edu/unq/partnersdevapp/dominio/personal/Cliente.java","3","6","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"24","ar.edu.unq.partnersdevapp.dominio.utils","src/main/java/ar/edu/unq/partnersdevapp/dominio/utils/FechaUtils.java","5","23","Found 'DD'-anomaly for variable 'date' (lines '23'-'25').","Controversial Rules","DataflowAnomalyAnalysis"
"25","ar.edu.unq.partnersdevapp.dominio.utils","src/main/java/ar/edu/unq/partnersdevapp/dominio/utils/FechaUtils.java","3","26","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"26","ar.edu.unq.partnersdevapp.test.calendario","src/test/java/ar/edu/unq/partnersdevapp/test/calendario/FechaComprensionTest.java","3","22","The String literal '05/04/2011' appears 4 times in this file; the first occurrence is on line 22","String and StringBuffer Rules","AvoidDuplicateLiterals"
"27","ar.edu.unq.partnersdevapp.test.calendario","src/test/java/ar/edu/unq/partnersdevapp/test/calendario/FechaComprensionTest.java","3","29","The String literal '12/04/2011' appears 5 times in this file; the first occurrence is on line 29","String and StringBuffer Rules","AvoidDuplicateLiterals"
"28","ar.edu.unq.partnersdevapp.test.calendario","src/test/java/ar/edu/unq/partnersdevapp/test/calendario/FechaComprensionTest.java","3","45","The String literal '04/04/2011' appears 5 times in this file; the first occurrence is on line 45","String and StringBuffer Rules","AvoidDuplicateLiterals"
"29","ar.edu.unq.partnersdevapp.test.calendario","src/test/java/ar/edu/unq/partnersdevapp/test/calendario/FechaComprensionTest.java","3","46","The String literal '08/04/2011' appears 5 times in this file; the first occurrence is on line 46","String and StringBuffer Rules","AvoidDuplicateLiterals"
"30","ar.edu.unq.partnersdevapp.test.calendario","src/test/java/ar/edu/unq/partnersdevapp/test/calendario/FechaComprensionTest.java","3","47","The String literal '11/04/2011' appears 5 times in this file; the first occurrence is on line 47","String and StringBuffer Rules","AvoidDuplicateLiterals"
"31","ar.edu.unq.partnersdevapp.test.calendario","src/test/java/ar/edu/unq/partnersdevapp/test/calendario/FechaComprensionTest.java","5","73","Found 'DD'-anomaly for variable 'fechasXextencion' (lines '73'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"32","ar.edu.unq.partnersdevapp.test.calendario","src/test/java/ar/edu/unq/partnersdevapp/test/calendario/FechaComprensionTest.java","5","86","Found 'DD'-anomaly for variable 'fechasXextencion' (lines '86'-'87').","Controversial Rules","DataflowAnomalyAnalysis"
"33","ar.edu.unq.partnersdevapp.test.calendario","src/test/java/ar/edu/unq/partnersdevapp/test/calendario/FechaComprensionTest.java","5","100","Found 'DD'-anomaly for variable 'fechasXextencion' (lines '100'-'101').","Controversial Rules","DataflowAnomalyAnalysis"
"34","ar.edu.unq.partnersdevapp.test.calendario","src/test/java/ar/edu/unq/partnersdevapp/test/calendario/FechaComprensionTest.java","5","125","Found 'DD'-anomaly for variable 'fechasXextencion' (lines '125'-'126').","Controversial Rules","DataflowAnomalyAnalysis"
